epoch,phase,accuracy,learning_rate,loss,val_accuracy,val_loss
1,feature_extraction,0.8064020872116089,0.0010000000474974513,0.5908240079879761,0.8758024573326111,0.38176852464675903
2,feature_extraction,0.8645502924919128,0.0010000000474974513,0.416073739528656,0.889629602432251,0.3384374678134918
3,feature_extraction,0.869523823261261,0.0010000000474974513,0.4084835648536682,0.8911111354827881,0.33961021900177
4,feature_extraction,0.8750793933868408,0.0010000000474974513,0.39576688408851624,0.904938280582428,0.29547351598739624
5,feature_extraction,0.8747090101242065,0.0010000000474974513,0.4036548435688019,0.9051851630210876,0.3025887906551361
6,feature_extraction,0.8726984262466431,0.0010000000474974513,0.404004842042923,0.9083950519561768,0.29234030842781067
7,feature_extraction,0.8783068656921387,0.0010000000474974513,0.3827158212661743,0.8999999761581421,0.323165625333786
8,feature_extraction,0.8747090101242065,0.0010000000474974513,0.4094865620136261,0.9041975140571594,0.3138735294342041
9,feature_extraction,0.8817460536956787,0.0005000000237487257,0.37993237376213074,0.9153086543083191,0.26408761739730835
10,feature_extraction,0.8893650770187378,0.0005000000237487257,0.3548814654350281,0.9155555367469788,0.261584997177124
11,feature_extraction,0.8869312405586243,0.0005000000237487257,0.35259419679641724,0.9153086543083191,0.27165839076042175
12,feature_extraction,0.8895238041877747,0.0005000000237487257,0.3499383330345154,0.9197530746459961,0.24885061383247375
13,feature_extraction,0.8885185122489929,0.0005000000237487257,0.3487859070301056,0.9091358184814453,0.2795141935348511
14,feature_extraction,0.891005277633667,0.0005000000237487257,0.342776894569397,0.9185185432434082,0.25139448046684265
15,feature_extraction,0.8925926089286804,0.0002500000118743628,0.3326365649700165,0.9207407236099243,0.24431253969669342
16,fine_tuning,0.904708981513977,9.999999747378752e-06,0.2839822471141815,0.9308642148971558,0.2045077085494995
17,fine_tuning,0.9256084561347961,9.999999747378752e-06,0.22036966681480408,0.9402469396591187,0.17440904676914215
18,fine_tuning,0.9338624477386475,9.999999747378752e-06,0.19125404953956604,0.9412345886230469,0.16387413442134857
19,fine_tuning,0.9382010698318481,9.999999747378752e-06,0.17701159417629242,0.946172833442688,0.15559332072734833
20,fine_tuning,0.9456613659858704,9.999999747378752e-06,0.15897595882415771,0.9474074244499207,0.15199735760688782
21,fine_tuning,0.946825385093689,9.999999747378752e-06,0.15291273593902588,0.9479012489318848,0.15927374362945557
22,fine_tuning,0.950264573097229,9.999999747378752e-06,0.14410020411014557,0.9520987868309021,0.13863687217235565
23,fine_tuning,0.9534920454025269,9.999999747378752e-06,0.13261686265468597,0.9525926113128662,0.13967286050319672
24,fine_tuning,0.9547619223594666,9.999999747378752e-06,0.12894265353679657,0.9565432071685791,0.13121747970581055
25,fine_tuning,0.9571428298950195,9.999999747378752e-06,0.1228487491607666,0.9553086161613464,0.12925316393375397
