model,test_accuracy,test_loss,balanced_accuracy,macro_f1,weighted_f1,total_params,trainable_params_after_finetuning,training_time_seconds,best_val_accuracy,best_feature_val_accuracy,best_finetune_val_accuracy,feature_validation_accuracy,feature_epochs_ran,fine_tune_epochs_ran,training_time_minutes,total_params_million,rank_by_accuracy
DenseNet121,0.9661728143692017,0.10646116733551025,0.9650222222222222,0.9649512629633895,0.9661804444918124,7047754,1071114.0,3143.8834941387177,,0.9427160620689392,0.9585185050964355,0.9427160620689392,14.0,10.0,52.398058235645294,7.047754,1
InceptionV3,0.9609876275062561,0.12597931921482086,0.9591333333333333,0.9594215266568688,0.9610115346927264,21823274,10555402.0,2357.034290790558,,0.9207407236099243,0.9565432071685791,0.9207407236099243,15.0,10.0,39.283904846509294,21.823274,2
MobileNetV2,0.9577777981758118,0.12860779464244843,0.9561333333333334,0.9563252097421977,0.9577833490666144,2270794,1523530.0,1359.0910613536835,,0.9313580393791199,0.9543209671974182,0.9313580393791199,14.0,10.0,22.651517689228058,2.270794,3
Baseline CNN B,0.8279012441635132,0.4877189099788666,0.8241555555555555,0.8227553664943039,0.8270618818505657,111050,,715.8087565898895,0.8158024549484253,,,,,,11.930145943164826,0.11105,4
Baseline CNN,0.8207407593727112,0.5135378837585449,0.8160888888888888,0.8138851474362607,0.8190515891340564,111050,,686.2387478351593,0.8133333325386047,,,,,,11.437312463919321,0.11105,5
