epoch,phase,accuracy,learning_rate,loss,val_accuracy,val_loss
1,feature_extraction,0.8157142996788025,0.0010000000474974513,0.5395720601081848,0.9029629826545715,0.287399023771286
2,feature_extraction,0.8816401958465576,0.0010000000474974513,0.3427930474281311,0.916543185710907,0.2489386647939682
3,feature_extraction,0.8924338817596436,0.0010000000474974513,0.31634777784347534,0.9182716012001038,0.2426864504814148
4,feature_extraction,0.8994709253311157,0.0010000000474974513,0.30172333121299744,0.9190123677253723,0.2358534336090088
5,feature_extraction,0.9020634889602661,0.0010000000474974513,0.2858316898345947,0.9224691390991211,0.2326079159975052
6,feature_extraction,0.9037036895751953,0.0010000000474974513,0.287592351436615,0.9234567880630493,0.2175845205783844
7,feature_extraction,0.9022751450538635,0.0010000000474974513,0.28692197799682617,0.9259259104728699,0.2236321121454239
8,feature_extraction,0.901534378528595,0.0010000000474974513,0.28252455592155457,0.926419734954834,0.2103067934513092
9,feature_extraction,0.9030687808990479,0.0010000000474974513,0.2784704864025116,0.9261728525161743,0.2129272073507309
10,feature_extraction,0.9024338722229004,0.0010000000474974513,0.28484898805618286,0.9313580393791199,0.21008557081222534
11,feature_extraction,0.9041798710823059,0.0010000000474974513,0.2767869532108307,0.9232099056243896,0.2271977812051773
12,feature_extraction,0.9010581970214844,0.0010000000474974513,0.2867460250854492,0.924691379070282,0.21834403276443481
13,feature_extraction,0.9122222065925598,0.0005000000237487257,0.2595144212245941,0.9296296238899231,0.20505931973457336
14,feature_extraction,0.9092592597007751,0.0005000000237487257,0.2612311542034149,0.9306172728538513,0.20328792929649353
15,fine_tuning,0.9100528955459595,9.999999747378752e-06,0.2576662600040436,0.9333333373069763,0.18835198879241943
16,fine_tuning,0.9239682555198669,9.999999747378752e-06,0.22580581903457642,0.9343209862709045,0.1841733455657959
17,fine_tuning,0.928518533706665,9.999999747378752e-06,0.21040797233581543,0.9446913599967957,0.16029232740402222
18,fine_tuning,0.9314285516738892,9.999999747378752e-06,0.20190231502056122,0.9407407641410828,0.16295458376407623
19,fine_tuning,0.935608446598053,9.999999747378752e-06,0.1836310625076294,0.9481481313705444,0.14621983468532562
20,fine_tuning,0.9393650889396667,9.999999747378752e-06,0.18064425885677338,0.9518518447875977,0.13914577662944794
21,fine_tuning,0.9374603033065796,9.999999747378752e-06,0.17484861612319946,0.9454321265220642,0.1604859083890915
22,fine_tuning,0.9438624382019043,9.999999747378752e-06,0.16654539108276367,0.9422222375869751,0.1580270230770111
23,fine_tuning,0.9452909827232361,4.999999873689376e-06,0.15634942054748535,0.9543209671974182,0.13739365339279175
24,fine_tuning,0.9495238065719604,4.999999873689376e-06,0.1470373421907425,0.9540740847587585,0.13462935388088226
