accuracy,loss,val_accuracy,val_loss
0.32777777314186096,1.7222751379013062,0.4511111080646515,1.4923924207687378
0.5188888907432556,1.3281430006027222,0.6037036776542664,1.0880619287490845
0.5989947319030762,1.1189016103744507,0.6412345767021179,0.9920694828033447
0.6269841194152832,1.0453490018844604,0.6558024883270264,0.9380951523780823
0.6457672119140625,1.0009902715682983,0.6772839426994324,0.883223295211792
0.6594709157943726,0.9587449431419373,0.6822222471237183,0.8688458204269409
0.676455020904541,0.8959307670593262,0.7022222280502319,0.7921894192695618
0.6978836059570312,0.835760235786438,0.7177777886390686,0.7456028461456299
0.7114285826683044,0.8038697242736816,0.7407407164573669,0.6884332895278931
0.7225925922393799,0.7626015543937683,0.7481481432914734,0.6755167841911316
0.7364020943641663,0.7378813028335571,0.757777750492096,0.6497622132301331
0.739470899105072,0.7225392460823059,0.7745679020881653,0.6218414306640625
0.7517460584640503,0.6932718753814697,0.7792592644691467,0.6104263067245483
0.7622751593589783,0.6731587648391724,0.7896296381950378,0.5749127268791199
0.7646031975746155,0.6643165349960327,0.7696296572685242,0.635927140712738
0.7721164226531982,0.6445598006248474,0.7992592453956604,0.5427749752998352
0.7740211486816406,0.6408847570419312,0.8091357946395874,0.538750946521759
0.7801587581634521,0.6203016042709351,0.8133333325386047,0.5279504656791687
0.7871957421302795,0.5971380472183228,0.800000011920929,0.5465903282165527
0.7920634746551514,0.5880037546157837,0.8081481456756592,0.5301758050918579
