accuracy,loss,val_accuracy,val_loss
0.3255026340484619,1.7279425859451294,0.5271604657173157,1.3945435285568237
0.5218518376350403,1.341222882270813,0.6204938292503357,1.0819648504257202
0.6020106077194214,1.1370735168457031,0.6624691486358643,0.9830559492111206
0.6312698125839233,1.0457448959350586,0.6772839426994324,0.9072366952896118
0.6559788584709167,0.9842103719711304,0.6718518733978271,0.8870397806167603
0.6656084656715393,0.9450734853744507,0.6876543164253235,0.8711957335472107
0.6897883415222168,0.8753716945648193,0.7333333492279053,0.7515308856964111
0.7116931080818176,0.8124688863754272,0.7513580322265625,0.6843624711036682
0.7215343713760376,0.7813286185264587,0.7543209791183472,0.6798500418663025
0.7323809266090393,0.7464193105697632,0.7599999904632568,0.6682565212249756
0.7419576644897461,0.7221986055374146,0.7664197683334351,0.6598294377326965
0.7497354745864868,0.7008368968963623,0.7780246734619141,0.6076162457466125
0.754709005355835,0.694114625453949,0.770370364189148,0.6248534917831421
0.7595767378807068,0.6827267408370972,0.7965431809425354,0.5800106525421143
0.7666666507720947,0.6644121408462524,0.790123462677002,0.6032082438468933
0.7777777910232544,0.6410847902297974,0.7992592453956604,0.5486318469047546
0.7765608429908752,0.63453608751297,0.8103703856468201,0.5276824831962585
0.7797883749008179,0.6234430074691772,0.7898765206336975,0.5831420421600342
0.7886772751808167,0.6068460941314697,0.8140740990638733,0.521213173866272
0.7926455140113831,0.5897689461708069,0.8158024549484253,0.5080974698066711
